case,loop_iterations,appeal,deviation
claim_1,1,False,
claim_2,1,True,
claim_3,1,False,
claim_4,1,True,
claim_5,1,True,
claim_6,1,False,
claim_7,3,False,
claim_8,1,False,
claim_9,1,True,
claim_10,2,False,
claim_11,1,False,
claim_12,1,False,
claim_13,1,True,
claim_14,4,False,
claim_15,3,False,
claim_16,2,False,
claim_17,3,False,
claim_18,1,False,extra_activity:call_customer
claim_19,2,False,
claim_20,2,False,
claim_21,1,True,
claim_22,1,False,
claim_23,1,False,
claim_24,2,False,
claim_25,1,True,
claim_26,1,True,
claim_27,2,False,
claim_28,1,False,
claim_29,1,False,
claim_30,1,True,
claim_31,1,False,
claim_32,1,True,
claim_33,1,True,
claim_34,4,True,reordered:lodge_appeal<->decide_appeal
claim_35,1,False,
claim_36,4,False,
claim_37,1,False,
claim_38,1,False,
claim_39,2,False,
claim_40,1,False,
claim_41,1,False,
claim_42,1,False,
claim_43,1,False,
claim_44,1,False,
claim_45,2,False,
claim_46,2,False,
claim_47,2,True,
claim_48,2,False,
claim_49,2,False,
claim_50,1,True,
claim_51,2,True,
claim_52,1,False,
claim_53,1,False,
claim_54,3,False,
claim_55,1,False,
claim_56,3,False,
claim_57,1,False,
claim_58,1,False,
claim_59,1,False,
claim_60,2,False,
