log,combo,degradation_dim,degradation_level,metric_or_stage,seconds,rows,status
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,aligned_duration_cache,1.0703557999804616,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,alignment_coverage_pn2_lower,0.0121695003472261,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,alignment_coverage_pn2_upper,0.006814498454331711,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,classical,14.473233600147069,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,dv,10.41862630005926,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,executions_cache,9.799841791391373e-06,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,matchprob,6.1998143792152405e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,mean_leaf_skipprob,4.699919372797012e-06,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,salign_coverage,0.0115879001095885,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,skipprob,6.800051778554916e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,traces,1.0703346002846956,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,voidmass_deficit_lower,1.6301870346069336e-05,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,voidmass_deficit_upper,6.4997002482414246e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,voidmass_movecount,7.398892194032669e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,voidmass_movecount_bound,6.00004568696022e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,voidmass_process_lower,6.998423486948013e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,voidmass_process_upper,5.899462848901749e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,voidsalign3,0.006764000747352384,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,voidsat2,0.1121269003488115,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,weight_voidage,5.460018292069435e-05,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,aligned_duration_cache,1.1414550999179482,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,alignment_coverage_pn2_lower,0.006129200570284802,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,alignment_coverage_pn2_upper,0.0033371984027323943,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,classical,7.289364899974316,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,dv,8.770111599937081,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,executions_cache,1.0699965059757233e-05,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,matchprob,5.099456757307053e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,mean_leaf_skipprob,9.799841791391373e-06,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,salign_coverage,0.0059241000562901,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,skipprob,5.500391125679016e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,traces,1.1414319002069533,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,voidmass_deficit_lower,1.4699995517730711e-05,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,voidmass_deficit_upper,5.398876965045929e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,voidmass_movecount,6.200280040502548e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,voidmass_movecount_bound,5.100388079881668e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,voidmass_process_lower,5.8002769947052e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,voidmass_process_upper,4.999805241823196e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,voidsalign3,0.0034587997943159917,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,voidsat2,0.1001744004897767,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,weight_voidage,4.559988155961037e-05,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,aligned_duration_cache,1.066906400024891,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,alignment_coverage_pn2_lower,0.005164599046110522,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,alignment_coverage_pn2_upper,0.002448200248181406,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,classical,2.6048774998635054,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,dv,9.219761000014842,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,executions_cache,1.0200310498476028e-05,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,matchprob,6.300397217273712e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,mean_leaf_skipprob,4.600267857313156e-06,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,salign_coverage,0.005038699135183838,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,skipprob,7.899012416601181e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,traces,1.0668850000947714,1,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,voidmass_deficit_lower,2.03009694814682e-05,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,voidmass_deficit_upper,9.100418537855148e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,voidmass_movecount,8.80146399140358e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,voidmass_movecount_bound,8.899252861738205e-06,14,ok
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,voidmass_process_lower,8.701346814632416e-06,14,ok
