log,combo,degradation_dim,degradation_level,metric_or_stage,seconds,rows,status
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,aligned_duration_cache,0.002395000308752,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,alignment_coverage_pn2_lower,8.999975398182869e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,alignment_coverage_pn2_upper,5.380110815167427e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,classical,0.0064167999662458,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,dv,5.84983120020479,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,executions_cache,7.100403308868408e-06,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,matchprob,3.400258719921112e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,mean_leaf_skipprob,3.000255674123764e-06,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,salign_coverage,0.00011300016194581985,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,skipprob,3.700144588947296e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,traces,0.0023806001991033,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,voidmass_deficit_lower,5.600042641162872e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,voidmass_deficit_upper,3.6009587347507477e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,voidmass_movecount,2.8996728360652924e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,voidmass_movecount_bound,3.500375896692276e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,voidmass_process_lower,3.900378942489624e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,voidmass_process_upper,3.1995587050914764e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,voidsalign3,6.62999227643013e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,voidsat2,0.00022070016711950302,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,weight_voidage,2.2899825125932693e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.2,aligned_duration_cache,0.0024255001917481,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.2,alignment_coverage_pn2_lower,9.020045399665833e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.2,alignment_coverage_pn2_upper,5.289958789944649e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.2,classical,0.0066931997425854,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.2,dv,5.83619419997558,1,ok
