log,combo,degradation_dim,degradation_level,metric_or_stage,seconds,rows,status
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,aligned_duration_cache,6.441654399968684,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,alignment_coverage_pn2_lower,0.0133943981491007,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,alignment_coverage_pn2_upper,0.005759899038820932,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,classical,5.068871600087732,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,dv,9.906365799717603,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,executions_cache,1.819990575313568e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,matchprob,2.7200207114219666e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,mean_leaf_skipprob,1.2099742889404295e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,salign_coverage,0.0129096005111908,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,skipprob,2.6398804038763046e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,traces,6.4416034002788365,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,voidmass_deficit_lower,8.610030636191368e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,voidmass_deficit_upper,2.730032429099083e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,voidmass_movecount,3.2700132578611374e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,voidmass_movecount_bound,2.930033951997757e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,voidmass_process_lower,2.4699140340089798e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,voidmass_process_upper,2.4198554456233978e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,voidsalign3,0.0055379001423709094,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,voidsat2,1.0361380996182539,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.1,weight_voidage,0.0002738996408879757,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,aligned_duration_cache,5.773644300177693,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,alignment_coverage_pn2_lower,0.008319000713526044,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,alignment_coverage_pn2_upper,0.003408998716622005,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,classical,2.40261510014534,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,dv,8.536700599826872,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,executions_cache,1.950003206729889e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,matchprob,2.340134233236313e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,mean_leaf_skipprob,1.29002146422863e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,salign_coverage,0.00786179956048624,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,skipprob,2.3801345378160477e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,traces,5.773597500286996,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,voidmass_deficit_lower,6.829993799328804e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,voidmass_deficit_upper,2.5700777769088745e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,voidmass_movecount,2.4898909032344818e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,voidmass_movecount_bound,2.529798075556755e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,voidmass_process_lower,2.3700762540102005e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,voidmass_process_upper,2.2798776626586914e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,voidsalign3,0.0035247006453570057,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,voidsat2,0.9003582000732402,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.2,weight_voidage,0.00024129962548613548,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,aligned_duration_cache,5.598424999974668,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,alignment_coverage_pn2_lower,0.006644699722526938,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,alignment_coverage_pn2_upper,0.0021257982589302413,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,classical,2.024656099732965,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,dv,7.919424300082028,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,executions_cache,1.4800112694501877e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,matchprob,3.840029239654541e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,mean_leaf_skipprob,2.0100269466638565e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,salign_coverage,0.006415398791431274,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,skipprob,3.549829125404358e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,traces,5.598377899732441,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,voidmass_deficit_lower,0.00012539885938167572,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,voidmass_deficit_upper,4.579871892929077e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,voidmass_movecount,4.649907350540161e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,voidmass_movecount_bound,4.130043089389801e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,voidmass_process_lower,4.249950870871544e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,voidmass_process_upper,3.310060128569603e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,voidsalign3,0.0022177975624796905,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,voidsat2,1.2571129999123494,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.3,weight_voidage,0.0004171994514763355,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,aligned_duration_cache,6.155130099970847,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,alignment_coverage_pn2_lower,0.006501898169516203,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,alignment_coverage_pn2_upper,0.0019899974577126485,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,classical,2.077096399851144,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,dv,8.441190700046718,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,executions_cache,1.509999856352806e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,matchprob,3.869924694299698e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,mean_leaf_skipprob,1.8700025975704197e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,salign_coverage,0.0065215984359369384,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,skipprob,3.8899946957826614e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,traces,6.155082600191236,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,voidmass_deficit_lower,0.0001300009898841381,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,voidmass_deficit_upper,4.3400563299655914e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,voidmass_movecount,4.5998021960258484e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,voidmass_movecount_bound,4.3997541069984436e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,voidmass_process_lower,3.9699021726846695e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,voidmass_process_upper,3.440165892243385e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,voidsalign3,0.002197999972849761,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,voidsat2,1.1166819990612544,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.4,weight_voidage,0.00045389775186777115,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,aligned_duration_cache,6.174840500112623,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,alignment_coverage_pn2_lower,0.004518202040344197,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,alignment_coverage_pn2_upper,0.0014180992729960558,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,classical,2.3059507003054023,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,dv,9.236351300030949,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,executions_cache,2.0300038158893585e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,matchprob,3.3200252801179886e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,mean_leaf_skipprob,1.750001683831215e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,salign_coverage,0.004524000454693612,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,skipprob,3.390014171600342e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,traces,6.174783899914473,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,voidmass_deficit_lower,0.00010930188000202179,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,voidmass_deficit_upper,4.250183701515198e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,voidmass_movecount,4.130275920033455e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,voidmass_movecount_bound,3.960169851779938e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,voidmass_process_lower,3.720168024301529e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,voidmass_process_upper,3.289896994829178e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,voidsalign3,0.0016718022525308005,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,voidsat2,0.9261259986087661,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.5,weight_voidage,0.00040209945291280746,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,aligned_duration_cache,6.035484400112182,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,alignment_coverage_pn2_lower,0.004710399080067316,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,alignment_coverage_pn2_upper,0.0015049003995953201,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,classical,1.9910398996435104,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,dv,7.835320100188255,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,executions_cache,1.3499986380338669e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,matchprob,3.589969128370285e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,mean_leaf_skipprob,1.7399899661540985e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,salign_coverage,0.004799899179487887,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,skipprob,3.629922866821289e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,traces,6.035432999953628,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,voidmass_deficit_lower,0.00011410051956772804,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,voidmass_deficit_upper,4.130089655518532e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,voidmass_movecount,4.380103200674057e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,voidmass_movecount_bound,3.87006439268589e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,voidmass_process_lower,3.979960456490517e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,voidmass_process_upper,3.5200268030166626e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,voidsalign3,0.0017222999595103287,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,voidsat2,0.8951447028666711,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.6,weight_voidage,0.0004017995670437813,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,aligned_duration_cache,5.890325400047004,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,alignment_coverage_pn2_lower,0.01358669949695442,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,alignment_coverage_pn2_upper,0.001130997668951652,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,classical,2.0559874000027776,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,dv,8.392853300087154,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,executions_cache,1.950003206729889e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,matchprob,1.7797108739614487e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,mean_leaf_skipprob,1.1899974197149277e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,salign_coverage,0.0027296002954242805,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,skipprob,2.0198989659547806e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,traces,5.8902624999172986,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,voidmass_deficit_lower,5.1097944378852844e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,voidmass_deficit_upper,2.250121906399727e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,voidmass_movecount,2.3600179702043533e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,voidmass_movecount_bound,2.140086144208908e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,voidmass_process_lower,2.000061795115471e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,voidmass_process_upper,1.9900035113096237e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,voidsalign3,0.0011925008147953787,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,voidsat2,0.5157156009227017,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.7,weight_voidage,0.00019809836521744728,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,aligned_duration_cache,5.652586200274527,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,alignment_coverage_pn2_lower,0.0010018008761107193,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,alignment_coverage_pn2_upper,0.0004329020157456398,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,classical,1.733110100030899,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,dv,7.002068800386041,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,executions_cache,1.9399914890527725e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,matchprob,1.7000827938318253e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,mean_leaf_skipprob,1.0299962013959885e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,salign_coverage,0.0011719008907675385,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,skipprob,1.909816637635231e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,traces,5.652524299919605,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,voidmass_deficit_lower,5.079945549368858e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,voidmass_deficit_upper,2.110004425048828e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,voidmass_movecount,2.189958468079567e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,voidmass_movecount_bound,2.0300038158893585e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,voidmass_process_lower,1.919921487569809e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,voidmass_process_upper,1.8100719898939133e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,voidsalign3,0.0005339006893336773,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,voidsat2,0.3988677002489543,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.8,weight_voidage,0.00018989713862538338,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,aligned_duration_cache,2.902017999906093,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,alignment_coverage_pn2_lower,0.000794399064034153,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,alignment_coverage_pn2_upper,0.00031770113855600357,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,classical,0.8965170001611114,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,dv,6.33681369991973,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,executions_cache,1.6099773347377777e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,matchprob,2.360064536333084e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,mean_leaf_skipprob,1.0500196367502213e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,salign_coverage,0.001035298220813236,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,skipprob,2.6399735361337662e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,traces,2.9019639999605715,1,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,voidmass_deficit_lower,6.670039147138596e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,voidmass_deficit_upper,2.6099849492311478e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,voidmass_movecount,2.670101821422577e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,voidmass_movecount_bound,2.3999717086553574e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,voidmass_process_lower,2.429913729429245e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,voidmass_process_upper,2.329982817173004e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,voidsalign3,0.00044059986248612404,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,voidsat2,0.2389022996649121,46,ok
BPIC2020_rfp,inductive_noise20,activity_frequency_gradual,0.9,weight_voidage,0.00024469709023833275,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,aligned_duration_cache,5.959200700279325,1,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,alignment_coverage_pn2_lower,0.0319208996370412,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,alignment_coverage_pn2_upper,0.014298601541666036,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,classical,832.0932325003669,1,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,dv,11.049000799655914,1,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,executions_cache,1.4299992471933363e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,matchprob,3.549829125404358e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,mean_leaf_skipprob,1.5799887478351593e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,salign_coverage,0.032078399322925,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,skipprob,3.479840233922005e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,traces,5.959150600247085,1,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,voidmass_deficit_lower,0.00010859919711947441,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,voidmass_deficit_upper,3.9798207581043243e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,voidmass_movecount,4.2798928916454315e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,voidmass_movecount_bound,3.3900607377290726e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,voidmass_process_lower,3.7400983273983e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,voidmass_process_upper,2.8801150619983673e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,voidsalign3,0.0147491008974584,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,voidsat2,1.3954756995663025,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.1,weight_voidage,0.00034200074151158333,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,aligned_duration_cache,5.9725137003697455,1,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,alignment_coverage_pn2_lower,0.0337033993564525,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,alignment_coverage_pn2_upper,0.014618901070205,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,classical,732.7643941002898,1,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,dv,12.042320900131015,1,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,executions_cache,1.5700235962867737e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,matchprob,3.3799558877944946e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,mean_leaf_skipprob,1.3499986380338669e-05,1,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,salign_coverage,0.0951339998282472,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,skipprob,3.30987386405468e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,traces,5.972465999890119,1,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,voidmass_deficit_lower,0.00011500157415866852,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,voidmass_deficit_upper,3.8499943912029266e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,voidmass_movecount,4.289858043193817e-05,46,ok
BPIC2020_rfp,inductive_noise20,activity_gradual,0.2,voidmass_movecount_bound,3.5501085221767426e-05,46,ok
