log,combo,degradation_dim,degradation_level,metric_or_stage,seconds,rows,status
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,aligned_duration_cache,0.0028949999250471,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,alignment_coverage_pn2_lower,0.00011519948020577431,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,alignment_coverage_pn2_upper,6.810016930103302e-05,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,classical,0.010908399708569,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,dv,5.8581757000647485,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,executions_cache,3.200024366378784e-06,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,matchprob,2.800021320581436e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,mean_leaf_skipprob,2.699904143810272e-06,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,salign_coverage,0.00014770077541470528,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,skipprob,3.400258719921112e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,traces,0.0028828997164964,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,voidmass_deficit_lower,4.800036549568176e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,voidmass_deficit_upper,2.70036980509758e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,voidmass_movecount,2.4009495973587036e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,voidmass_movecount_bound,2.800021320581436e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,voidmass_process_lower,3.1008385121822357e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,voidmass_process_upper,2.7995556592941284e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,voidsalign3,8.329935371875763e-05,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,voidsat2,0.0003259005025028475,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.1,weight_voidage,1.6598962247371674e-05,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,aligned_duration_cache,0.0028182002715766,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,alignment_coverage_pn2_lower,0.00010850047692656517,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,alignment_coverage_pn2_upper,6.299931555986404e-05,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,classical,0.010120800230652,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,dv,5.897836099844426,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,executions_cache,3.300141543149948e-06,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,matchprob,2.900604158639908e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,mean_leaf_skipprob,2.600252628326416e-06,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,salign_coverage,0.00013010017573833466,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,skipprob,3.0007213354110718e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,traces,0.0028075999580323,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,voidmass_deficit_lower,6.00004568696022e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,voidmass_deficit_upper,3.5990960896015167e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,voidmass_movecount,3.0999071896076202e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,voidmass_movecount_bound,2.70036980509758e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,voidmass_process_lower,3.0999071896076202e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,voidmass_process_upper,2.8996728360652924e-06,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,voidsalign3,7.750047370791435e-05,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,voidsat2,0.00028150016441940746,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.2,weight_voidage,1.6401056200265884e-05,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.3,aligned_duration_cache,0.0028083003126084,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.3,alignment_coverage_pn2_lower,7.829954847693443e-05,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.3,alignment_coverage_pn2_upper,3.9000529795885086e-05,9,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.3,classical,0.0074626998975872,1,ok
payment_approval,inductive_noise20,activity_frequency_gradual,0.3,dv,5.663851300254464,1,ok
