log,combo,degradation_dim,degradation_level,dropped,dropped_count,status,elapsed_s,mandatory_node_count,total_node_count,tree_source,weight_voidage,skipprob,matchprob,salign_coverage,voidsalign3,voidmass_deficit_lower,voidmass_deficit_upper,voidmass_movecount,voidmass_movecount_bound,voidmass_process_lower,voidmass_process_upper,alignment_coverage_pn2_lower,alignment_coverage_pn2_upper,voidsat2,mean_leaf_skipprob,timed_out_count,timed_out_weight
payment_partial,inductive_noise20,activity_frequency_gradual,0.0,,0,ok,6.404035300016403,5,10,cached,0.0956439393939394,0.0,1.0,0.96875,0.03125,0.125,0.125,4.25,4.25,0.0294117647058823,0.0294117647058823,0.9791666666666666,0.9791666666666666,0.2301136363636363,0.025,0,0.0
payment_partial,inductive_noise20,activity_frequency_gradual,0.1,e,1,ok,6.113382100127637,5,10,cached,0.0927659979685119,0.0,1.0,0.96875,0.03125,0.125,0.125,3.875,3.875,0.032258064516129,0.032258064516129,0.9791666666666666,0.9791666666666666,0.3637716450216449,0.025,0,0.0
payment_partial,inductive_noise20,activity_frequency_gradual,0.2,e,1,ok,6.423090499825776,5,10,cached,0.03125,0.0,1.0,0.9583333333333334,0.0416666666666666,0.125,0.125,3.375,3.375,0.037037037037037,0.037037037037037,0.9583333333333334,0.9583333333333334,0.3594426406926407,0.025,0,0.0
payment_partial,inductive_noise20,activity_frequency_gradual,0.3,e,1,ok,5.5880477000027895,5,10,cached,0.03125,0.0,1.0,0.9583333333333334,0.0416666666666666,0.125,0.125,3.0,3.0,0.0416666666666666,0.0416666666666666,0.9583333333333334,0.9583333333333334,0.4370941558441559,0.025,0,0.0
payment_partial,inductive_noise20,activity_frequency_gradual,0.4,"a, e",2,ok,5.668272899929434,5,10,cached,0.125,0.0,1.0,0.8333333333333333,0.1666666666666667,0.5,0.5,3.0,3.0,0.1666666666666666,0.1666666666666666,0.8333333333333333,0.8333333333333333,0.5166396103896104,0.1,0,0.0
payment_partial,inductive_noise20,activity_frequency_gradual,0.5,"a, e",2,ok,5.603911200072616,5,10,cached,0.21875,0.0,1.0,0.7083333333333333,0.2916666666666667,0.875,0.875,3.0,3.0,0.2916666666666667,0.2916666666666667,0.7083333333333333,0.7083333333333333,0.636904761904762,0.175,0,0.0
payment_partial,inductive_noise20,activity_frequency_gradual,0.6,"a, e, s",3,ok,5.6451591001823545,5,10,cached,0.34375,0.0,1.0,0.5416666666666666,0.4583333333333333,1.375,1.375,3.0,3.0,0.4583333333333333,0.4583333333333333,0.5416666666666666,0.5416666666666666,0.4166666666666667,0.275,0,0.0
payment_partial,inductive_noise20,activity_frequency_gradual,0.7,"a, e, s",3,ok,5.6615832997486,5,10,cached,0.4375,0.0,1.0,0.4166666666666666,0.5833333333333334,1.75,1.75,3.0,3.0,0.5833333333333334,0.5833333333333334,0.4166666666666666,0.4166666666666666,0.1666666666666667,0.35,0,0.0
payment_partial,inductive_noise20,activity_frequency_gradual,0.8,"a, e, o, s",4,ok,5.44020830001682,5,10,cached,0.5,0.0,1.0,0.3333333333333333,0.6666666666666667,2.0,2.0,3.0,3.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.4,0,0.0
payment_partial,inductive_noise20,activity_frequency_gradual,0.9,"a, e, o, s",4,ok,5.46326889982447,5,10,cached,0.5,0.0,1.0,0.3333333333333333,0.6666666666666667,2.0,2.0,3.0,3.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.4,0,0.0
