log,combo,degradation_dim,degradation_level,dropped,dropped_count,status,elapsed_s,mandatory_node_count,total_node_count,tree_source,weight_voidage,skipprob,matchprob,salign_coverage,voidsalign3,voidmass_deficit_lower,voidmass_deficit_upper,voidmass_movecount,voidmass_movecount_bound,voidmass_process_lower,voidmass_process_upper,alignment_coverage_pn2_lower,alignment_coverage_pn2_upper,voidsat2,mean_leaf_skipprob,timed_out_count,timed_out_weight
rtfm,inductive_noise20,activity_frequency_gradual,0.0,,0,ok,135.39527649991214,1,13,cached,0.0,0.0,1.0,1.0000000000000002,0.0,0.0,0.0,2.5762354909748355,2.5762354909748355,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,activity_frequency_gradual,0.1,"Appeal to Judge, Insert Date Appeal to Prefecture, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",4,ok,130.54652850003913,1,13,cached,2.220446049250313e-16,0.0,1.0,1.0,0.0,0.0,0.0,2.339821323819324,2.339821323819324,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,activity_frequency_gradual,0.2,"Appeal to Judge, Insert Date Appeal to Prefecture, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",4,ok,122.23431430011988,1,13,cached,-2.220446049250313e-16,0.0,1.0,1.0,0.0,0.0,0.0,2.07983690268976,2.07983690268976,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,activity_frequency_gradual,0.3,"Appeal to Judge, Insert Date Appeal to Prefecture, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",4,ok,121.600009100046,1,13,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.8198524815601949,1.8198524815601949,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,activity_frequency_gradual,0.4,"Add penalty, Appeal to Judge, Insert Date Appeal to Prefecture, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",5,ok,119.01168980030344,1,13,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.5598776770173195,1.5598776770173195,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,activity_frequency_gradual,0.5,"Add penalty, Appeal to Judge, Insert Date Appeal to Prefecture, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",5,ok,127.78058229992166,1,13,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.299902872474444,1.299902872474444,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,activity_frequency_gradual,0.6,"Add penalty, Appeal to Judge, Insert Date Appeal to Prefecture, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",5,ok,118.45196639979258,1,13,cached,-2.220446049250313e-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0399184513448796,1.0399184513448796,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,activity_frequency_gradual,0.7,"Add penalty, Appeal to Judge, Insert Date Appeal to Prefecture, Insert Fine Notification, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",6,ok,91.08067560009658,1,13,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,activity_frequency_gradual,0.8,"Add penalty, Appeal to Judge, Insert Date Appeal to Prefecture, Insert Fine Notification, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",6,ok,63.46408369997516,1,13,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,activity_frequency_gradual,0.9,"Add penalty, Appeal to Judge, Insert Date Appeal to Prefecture, Insert Fine Notification, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",6,ok,35.839872299693525,1,13,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,activity_gradual,0.0,,0,ok,135.39527649991214,1,13,cached,0.0,0.0,1.0,1.0000000000000002,0.0,0.0,0.0,2.5762354909748355,2.5762354909748355,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,activity_gradual,0.1,,0,ok,141.77186789968982,1,13,cached,0.0,0.0,1.0,1.0000000000000009,0.0,0.0,0.0,2.5762354909748355,2.5762354909748355,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,activity_gradual,0.2,Appeal to Judge,1,ok,126.9491167999804,1,13,cached,0.0,0.0,1.0,1.0000000000000002,0.0,0.0,0.0,2.2690432457903404,2.2690432457903404,0.0,0.0,1.0,1.0,0.1492832065436337,0.0,0.0,0.0
rtfm,inductive_noise20,activity_gradual,0.3,"Appeal to Judge, Insert Fine Notification",2,ok,121.63605820015071,1,13,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.808254878013598,1.808254878013598,0.0,0.0,1.0,1.0,0.3730782535725216,0.0,0.0,0.0
rtfm,inductive_noise20,activity_gradual,0.4,"Appeal to Judge, Insert Fine Notification",2,ok,124.70210909983145,1,13,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.808254878013598,1.808254878013598,0.0,0.0,1.0,1.0,0.3730850380332058,0.0,0.0,0.0
rtfm,inductive_noise20,activity_gradual,0.5,"Appeal to Judge, Insert Fine Notification, Notify Result Appeal to Offender",3,ok,122.72884869994596,1,13,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.7881177454874169,1.7881177454874169,0.0,0.0,1.0,1.0,0.3785445159466065,0.0,0.0,0.0
rtfm,inductive_noise20,activity_gradual,0.6,"Appeal to Judge, Insert Date Appeal to Prefecture, Insert Fine Notification, Notify Result Appeal to Offender",4,ok,118.36273779999463,1,13,cached,0.0,0.1118896728981627,0.8881103271018372,0.7804168592017408,0.1704676235034651,0.1077789198594567,0.1077789198594567,1.696975498988922,1.696975498988922,0.0635123606225739,0.0635123606225739,0.837523959413257,0.837523959413257,0.4226014652505167,0.0,0.0,0.0
rtfm,inductive_noise20,activity_gradual,0.7,"Appeal to Judge, Insert Date Appeal to Prefecture, Insert Fine Notification, Notify Result Appeal to Offender",4,ok,95.81260280031712,1,13,cached,0.0,0.5857412645905101,0.4142587354094899,0.1428239722264776,0.8267225590134095,0.5824158909924579,0.5824158909924579,1.3879950745700371,1.3879950745700371,0.4196094796466582,0.4196094796466582,0.2440571894282352,0.2440571894282352,0.6214858959050259,0.0,0.0,0.0
rtfm,inductive_noise20,activity_gradual,0.8,"Appeal to Judge, Insert Date Appeal to Prefecture, Insert Fine Notification, Notify Result Appeal to Offender, Send Fine",5,ok,41.28629580000416,1,13,cached,0.0,0.6754540267608251,0.3245459732391749,0.0795892566340565,0.9188635066902062,0.6539536311991402,0.6539536311991402,1.3079072623982804,1.3079072623982804,0.5,0.5,0.1622729866195874,0.1622729866195874,0.675581024778152,0.0,0.0,0.0
rtfm,inductive_noise20,activity_gradual,0.9,"Add penalty, Appeal to Judge, Insert Date Appeal to Prefecture, Insert Fine Notification, Notify Result Appeal to Offender, Send Fine",6,ok,6.635536400135607,1,13,cached,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
rtfm,inductive_noise20,trace,0.0,,0,ok,135.39527649991214,1,13,cached,0.0,0.0,1.0,1.0000000000000002,0.0,0.0,0.0,2.5762354909748355,2.5762354909748355,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,trace,0.1,10399 items,10399,ok,123.398961099796,1,13,cached,0.0,0.0,1.0,1.0000000000000002,0.0,0.0,0.0,2.5748172842672155,2.5748172842672155,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,trace,0.2,20797 items,20797,ok,105.00726220011713,1,13,cached,0.0,0.0,1.0,0.9999999999999998,0.0,0.0,0.0,2.574383940377448,2.574383940377448,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,trace,0.3,31196 items,31196,ok,95.13167029991746,1,13,cached,0.0,0.0,1.0,0.9999999999999996,0.0,0.0,0.0,2.5752771633855835,2.5752771633855835,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,trace,0.4,41595 items,41595,ok,81.73910250002518,1,13,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.5753301705346847,2.5753301705346847,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,trace,0.5,51994 items,51994,ok,73.81189120002091,1,13,cached,0.0,0.0,1.0,0.9999999999999996,0.0,0.0,0.0,2.5761160156174863,2.5761160156174863,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,trace,0.6,62392 items,62392,ok,61.08643230004236,1,13,cached,0.0,0.0,1.0,0.9999999999999994,0.0,0.0,0.0,2.576800096165403,2.576800096165403,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,trace,0.7,72791 items,72791,ok,48.16864329995588,1,13,cached,0.0,0.0,1.0,1.0000000000000009,0.0,0.0,0.0,2.5760674445441727,2.5760674445441727,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,trace,0.8,83190 items,83190,ok,34.77644419996068,1,13,cached,0.0,0.0,1.0,1.0000000000000004,0.0,0.0,0.0,2.5729191710342865,2.5729191710342865,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,inductive_noise20,trace,0.9,93588 items,93588,ok,23.002476500347257,1,13,cached,0.0,0.0,1.0,1.0000000000000002,0.0,0.0,0.0,2.568420040388498,2.568420040388498,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,toothpaste,activity_frequency_gradual,0.0,,0,ok,153.8038594997488,11,140,cached,0.0,0.0,1.0,1.0000000000000002,0.0,0.0,0.0,2.599796128362199,2.599796128362199,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rtfm,toothpaste,activity_frequency_gradual,0.1,"Appeal to Judge, Insert Date Appeal to Prefecture, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",4,ok,147.06520459987223,11,140,cached,0.0,0.0,1.0,0.967310016316142,0.0938967616451237,0.0980699510515737,0.0980699510515737,2.339821323819324,2.339821323819324,0.0419134358906913,0.0419134358906913,0.967310016316142,0.967310016316142,0.0,0.0,0.0,0.0
rtfm,toothpaste,activity_frequency_gradual,0.2,"Appeal to Judge, Insert Date Appeal to Prefecture, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",4,ok,147.32941470015794,11,140,cached,0.0,0.0,1.0,0.9239792794612146,0.2183573887816173,0.2280621616163559,0.2280621616163559,2.07983690268976,2.07983690268976,0.1096538682054411,0.1096538682054411,0.9239792794612148,0.9239792794612148,0.0,0.0,0.0,0.0
rtfm,toothpaste,activity_frequency_gradual,0.3,"Appeal to Judge, Insert Date Appeal to Prefecture, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",4,ok,147.4684016997926,11,140,cached,0.0,0.0,1.0,0.8806485426062873,0.3428180159181108,0.358054372181138,0.358054372181138,1.8198524815601949,1.8198524815601949,0.1967491188484525,0.1967491188484525,0.8806485426062873,0.8806485426062873,0.0,0.0,0.0,0.0
rtfm,toothpaste,activity_frequency_gradual,0.4,"Add penalty, Appeal to Judge, Insert Date Appeal to Prefecture, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",5,ok,144.05360310012475,11,140,cached,0.0,0.0,1.0,0.9066870538304468,0.2680265475082912,0.2799388385086597,0.2799388385086597,1.5598776770173195,1.5598776770173195,0.1794620454111105,0.1794620454111105,0.9066870538304468,0.9066870538304468,0.0,0.0,0.0,0.0
rtfm,toothpaste,activity_frequency_gradual,0.5,"Add penalty, Appeal to Judge, Insert Date Appeal to Prefecture, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",5,ok,138.77585060009733,11,140,cached,0.0,0.0,1.0,0.950016187920926,0.1435705240569146,0.1499514362372219,0.1499514362372219,1.299902872474444,1.299902872474444,0.1153558772831852,0.1153558772831852,0.950016187920926,0.950016187920926,0.0,0.0,0.0,0.0
rtfm,toothpaste,activity_frequency_gradual,0.6,"Add penalty, Appeal to Judge, Insert Date Appeal to Prefecture, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",5,ok,132.0348163000308,11,140,cached,0.0,0.0,1.0,0.9933469247758532,0.0191098969204212,0.0199592256724398,0.0199592256724398,1.0399184513448796,1.0399184513448796,0.0191930681166657,0.0191930681166657,0.9933469247758532,0.9933469247758532,0.0,0.0,0.0,0.0
rtfm,toothpaste,activity_frequency_gradual,0.7,"Add penalty, Appeal to Judge, Insert Date Appeal to Prefecture, Insert Fine Notification, Notify Result Appeal to Offender, Receive Result Appeal from Prefecture",6,ok,105.20624980004504,11,140,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
