log,combo,degradation_dim,degradation_level,metric_or_stage,seconds,rows,status
rtfm,inductive_noise20,activity_frequency_gradual,0.1,aligned_duration_cache,84.08390920003876,1,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,alignment_coverage_pn2_lower,0.0003855009563267231,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,alignment_coverage_pn2_upper,0.00013990094885230064,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,classical,23.8701311997138,1,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,dv,15.589244300033895,1,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,executions_cache,7.200054824352264e-06,1,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,matchprob,1.2500211596488953e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,mean_leaf_skipprob,8.999835699796677e-06,1,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,salign_coverage,0.0005065011791884899,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,skipprob,1.3000797480344772e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,traces,84.08388169994578,1,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,voidmass_deficit_lower,3.800028935074806e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,voidmass_deficit_upper,1.48015096783638e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,voidmass_movecount,1.2600328773260117e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,voidmass_movecount_bound,1.0599847882986069e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,voidmass_process_lower,1.4599412679672241e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,voidmass_process_upper,1.2399628758430481e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,voidsalign3,0.00022539962083101273,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,voidsat2,6.839770898222923,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.1,weight_voidage,0.00014160014688968658,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,aligned_duration_cache,78.71497630001977,1,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,alignment_coverage_pn2_lower,0.0003329007886350155,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,alignment_coverage_pn2_upper,0.0001443997025489807,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,classical,22.976416300050914,1,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,dv,14.193859599996358,1,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,executions_cache,8.600298315286636e-06,1,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,matchprob,1.2100674211978912e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,mean_leaf_skipprob,2.1600164473056797e-05,1,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,salign_coverage,0.0004700995050370693,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,skipprob,1.3299752026796341e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,traces,78.714946300257,1,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,voidmass_deficit_lower,3.190012648701668e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,voidmass_deficit_upper,1.400010660290718e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,voidmass_movecount,1.210113987326622e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,voidmass_movecount_bound,1.1798925697803497e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,voidmass_process_lower,1.2199394404888153e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,voidmass_process_upper,1.109996810555458e-05,17,ok
rtfm,inductive_noise20,activity_frequency_gradual,0.2,voidsalign3,0.00023419922217726707,17,ok
